Title,latitude,longitude
AGEN,44.20041445,0.633335733
AIX EN PROVENCE,43.51999086,5.449992634
AJACCIO,41.92706484,8.728293822
AMIENS,49.90037661,2.300004027
ANGERS,47.48000755,0.530029949
ANNECY,45.89997479,6.116670287
ARRAS,50.28332481,2.783333698
AUXERRE,47.80042727,3.566593382
BASSE TERRE,16.23039044,61.43998132
BASTIA,42.70316734,9.450006875
BESANCON,47.22999697,6.03000891
BEZIERS,43.35049217,3.209974323
BIARRITZ,43.47327537,1.561594891
BORDEAUX,44.85001304,0.595013063
BOURGES,47.08372683,2.399997923
BREST,48.39044293,4.49500757
BRIVE,45.15040814,1.533332477
CAEN,49.18375368,0.349989259
CALAIS,50.95041587,1.833314167
CAYENNE,4.932992166,52.33002059
CHERBOURG,49.65039187,1.649987428
CLERMONT FERRAND,45.77998212,3.080008096
DIEPPE,49.93373374,1.083334105
DIJON,47.33040428,5.030018268
DZAOUDZI,12.78708901,45.27500362
FORT DE FRANCE,14.6104118,61.08002914
GRENOBLE,45.18038047,5.720001992
IRACOUBO,5.480426452,53.21999211
KOUROU,5.159980895,52.64994938
LA ROCHELLE,46.16665102,1.149992108
LE HAVRE,49.50497438,0.104970051
LE MANS,48.00041506,0.099983275
LILLE,50.64996909,3.080008096
LIMOGES,45.82997906,1.249990599
LORIENT,47.75040448,3.366575156
LYON,45.77000856,4.830030475
MARSEILLE,43.28997906,5.37501013
MELUN,48.53330243,2.666648314
METZ,49.1203467,6.180025593
MONTPELLIER,43.61039878,3.869985716
MULHOUSE,47.75040448,7.34998002
NANCY,48.68368085,6.200024372
NANTES,47.21038576,1.590016929
NEVERS,46.98373293,3.166669473
NICE,43.71501772,7.265023965
NIMES,43.83038535,4.350008096
ORLEANS,47.90042116,1.900028441
PARIS,48.86669293,2.333335326
PERPIGNAN,42.69998924,2.899967406
POINTE A PITRE,16.24147504,61.5329989
POITIER,46.58329226,0.333276529
REIMS,49.25039044,4.029975951
RENNES,48.10002138,1.670012046
ROANNE,46.03332583,4.066666218
ROUEN,49.43040529,1.079975137
ROURA,4.729981302,52.33002059
SAINT ETIENNE,45.43039105,4.380032103
SAINT GEORGES,3.9104706,51.81000065
SAINT LAURENT DU MARONI,5.497624081,54.03253459
SINNAMARY,5.380019144,52.95998214
SAINT BENOIT,21.03351072,55.71281612
SAINT BRIEUC,48.51666262,2.783303265
SAINT DENIS,20.87889484,55.44807776
STRASBOURG,48.57996625,7.750007282
TARBES,43.23329002,0.083343464
TOULON,43.13418645,5.918821566
TOULOUSE,43.61995892,1.449926716
TOURS,47.38037539,0.699946654
TROYES,48.34039431,4.083357705
VERSAILLES,48.80046958,2.133347533
VICHY,46.117145,3.416680052
